sample_id,source,stratum,area_m2,labelled_frac,cell,centroid_x,centroid_y,category,conf,note,options
fn_l_097,fn_other,large_1k+,1108.3,,c7r8,432151.0,431968.1,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_098,fn_other,large_1k+,9559.7,,c7r9,432295.6,430514.9,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_099,fn_other,large_1k+,1104.5,,c9r6,434253.1,433909.7,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_100,fn_other,large_1k+,1749.7,,c2r8,427976.4,431663.6,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_101,fn_other,large_1k+,2088.6,,c4r6,429162.4,433303.1,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_102,fn_other,large_1k+,2025.1,,c6r9,431544.8,430933.9,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_103,fn_other,large_1k+,1150.2,,c7r8,432720.7,431835.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_104,fn_other,large_1k+,1007.8,,c4r1,429605.4,438635.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_105,fn_other,large_1k+,2968.9,,c8r8,433002.2,431525.8,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_106,fn_other,large_1k+,1094.0,,c7r7,432958.6,432249.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_107,fn_other,large_1k+,1568.7,,c7r8,432918.0,431012.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_108,fn_other,large_1k+,2535.2,,c8r8,433444.9,431018.0,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_109,fn_other,large_1k+,2004.3,,c8r4,433824.3,435584.3,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_110,fn_other,large_1k+,1554.1,,,430153.6,429983.0,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_111,fn_other,large_1k+,1885.5,,c7r9,432507.5,430055.4,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
fn_l_112,fn_other,large_1k+,1049.0,,c1r6,426550.0,433008.9,,,,lorry_van_lot | unusual_surface | shaded_occluded | small_irregular | rooftop | other
